File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
oa_package/d2/21/PMC8565910.tar.gz,Sci Adv.; 7(45):eabg8411,PMC8565910,2024-02-13 13:44:56,34731002.0,CC BY
oa_package/4b/0a/PMC9022173.tar.gz,Front Physiol. 2022 Apr 7; 13:872774,PMC9022173,2022-04-25 12:16:44,35464095.0,CC BY
oa_package/97/e9/PMC11076770.tar.gz,Front Public Health. 2024 Apr 24; 12:1357618,PMC11076770,2024-12-21 14:25:16,38721536.0,CC BY
oa_package/cc/e0/PMC10991388.tar.gz,Sci Rep. 2024 Apr 3; 14:7820,PMC10991388,2024-04-04 20:25:28,38570576.0,CC BY
oa_package/1c/1b/PMC3916393.tar.gz,PLoS One. 2014 Feb 6; 9(2):e87981,PMC3916393,2024-03-13 05:25:14,24516575.0,CC0
oa_package/31/4f/PMC7672470.tar.gz,Nucleic Acids Res. 2020 Oct 9; 48(20):e116,PMC7672470,2020-11-24 19:42:07,33035338.0,CC BY-NC
oa_package/6e/5a/PMC4234252.tar.gz,Microbiologyopen. 2014 Oct 9; 3(5):i-iii,PMC4234252,2023-07-02 23:25:09,,NO-CC CODE
oa_package/0b/32/PMC3952282.tar.gz,Ann Med Health Sci Res. 2014 Jan-Feb; 4(1):118-122,PMC3952282,2024-03-17 09:25:25,24669343.0,CC BY-NC-SA
oa_package/10/f6/PMC2936215.tar.gz,Biol Lett. 2010 Aug 23; 6(4):540-543,PMC2936215,2013-04-03 19:12:55,20106861.0,CC BY
oa_package/86/c1/PMC6644998.tar.gz,ACS Omega. 2018 Aug 1; 3(8):8483,PMC6644998,2019-12-16 11:56:13,31465023.0,NO-CC CODE
oa_package/82/2a/PMC8483327.tar.gz,PLoS Comput Biol. 2021 Sep 20; 17(9):e1009382,PMC8483327,2025-08-16 10:25:44,34543288.0,CC BY
oa_package/63/d3/PMC5349607.tar.gz,Sci Rep. 2017 Mar 14; 7:44260,PMC5349607,2017-03-17 20:08:17,28290481.0,CC BY
oa_package/d8/a7/PMC9058462.tar.gz,RSC Adv.; 10(72):44096-44102,PMC9058462,2023-09-15 06:25:10,35517134.0,CC BY-NC
oa_package/0a/97/PMC10249348.tar.gz,Comput Biol Med. 2023 Sep 8; 163:107153,PMC10249348,2023-08-29 20:25:09,37321101.0,NO-CC CODE
oa_package/bc/de/PMC8440603.tar.gz,Sci Rep. 2021 Sep 14; 11:18062,PMC8440603,2021-09-17 00:16:38,34521882.0,CC BY
oa_package/09/b7/PMC9737564.tar.gz,J Clin Med. 2022 Nov 24; 11(23):6926,PMC9737564,2022-12-13 05:10:11,36498501.0,CC BY
oa_package/2e/31/PMC7724868.tar.gz,BMC Health Serv Res. 2020 Dec 9; 20:1132,PMC7724868,2020-12-11 22:16:24,33298056.0,CC BY
oa_package/70/79/PMC12627134.tar.gz,Dig Dis Sci. 2025 Jun 18; 70(11):3769-3787,PMC12627134,2025-11-19 19:25:13,40531258.0,CC BY-NC
oa_package/54/12/PMC7980129.tar.gz,CNS Drugs. 2021 Mar 20; 35(3):317-330,PMC7980129,2024-08-07 16:25:18,33743151.0,CC BY-NC
oa_package/ce/d8/PMC8857201.tar.gz,Hum Genome Var. 2022 Feb 18; 9:7,PMC8857201,2023-01-10 03:10:11,35181663.0,CC BY
oa_package/ff/0b/PMC8491718.tar.gz,Glob Health Action.; 14(1):1982485,PMC8491718,2021-10-05 20:16:36,34605368.0,CC BY
oa_package/62/c1/PMC4084073.tar.gz,Crit Care. 2009 Mar 13; 13(Suppl 1):P187,PMC4084073,2014-07-11 20:08:47,,NO-CC CODE
oa_package/0a/fb/PMC9776055.tar.gz,Brain Sci. 2022 Dec 12; 12(12):1701,PMC9776055,2022-12-24 12:10:49,36552161.0,CC BY
oa_package/3d/0d/PMC1538997.tar.gz,BMC Health Serv Res. 2006 Jun 15; 6:76,PMC1538997,2024-10-02 02:25:14,16776833.0,CC BY
oa_package/82/a5/PMC6024711.tar.gz,Nutrients. 2018 May 24; 10(6):669,PMC6024711,2024-11-01 09:25:15,29795005.0,CC BY
oa_package/72/5e/PMC5719212.tar.gz,Nagoya J Med Sci. 2017 Nov; 79(4):527-543,PMC5719212,2017-12-15 17:26:36,29238109.0,CC BY-NC-ND
oa_package/33/d8/PMC9191215.tar.gz,Iran J Pharm Res. 2022 Jan 16; 21(1):e123791,PMC9191215,2024-05-14 09:25:30,35765508.0,CC BY-NC
oa_package/1e/74/PMC10541537.tar.gz,Wellcome Open Res. 2022 Oct 12; 7:256,PMC10541537,2025-08-28 11:25:15,37786881.0,CC BY
oa_package/c7/ee/PMC11181541.tar.gz,BMC Neurol. 2024 Jun 17; 24:206,PMC11181541,2024-06-19 15:25:14,38886633.0,CC BY
oa_package/d8/54/PMC5982496.tar.gz,J Pediatr Neurosci. 2018 Jan-Mar; 13(1):74-77,PMC5982496,2018-06-15 16:07:50,29899775.0,CC BY-NC-SA
oa_package/ce/67/PMC11498262.tar.gz,Indian J Anaesth. 2024 Oct 14; 68(10):922-924,PMC11498262,2024-10-25 05:25:34,39449843.0,CC BY-NC-SA
oa_package/48/6a/PMC9525276.tar.gz,Nat Commun. 2022 Sep 30; 13:5737,PMC9525276,2024-05-16 15:25:14,36180437.0,CC BY
oa_package/e5/18/PMC11668161.tar.gz,Tunis Med. 2024 Nov 5; 102(11):922-926,PMC11668161,2024-12-25 05:25:47,39564637.0,CC BY-NC-ND
oa_package/fe/f8/PMC3645365.tar.gz,J Adv Pharm Technol Res. 2013 Jan-Mar; 4(1):2-3,PMC3645365,2023-06-14 22:25:09,23662275.0,CC BY-NC-SA
oa_package/4a/b0/PMC11246872.tar.gz,Front Bioeng Biotechnol. 2024 Jul 1; 12:1406722,PMC11246872,2024-07-16 13:25:13,39011153.0,CC BY
oa_package/f7/a1/PMC10394169.tar.gz,Cell Rep Med. 2023 Jun 28; 4(7):101095,PMC10394169,2023-09-26 21:25:19,37385253.0,CC BY-NC-ND
oa_package/26/65/PMC8396318.tar.gz,Int J Mol Sci. 2021 Aug 16; 22(16):8781,PMC8396318,2024-05-05 19:25:15,34445516.0,CC BY
oa_package/f8/7a/PMC8150786.tar.gz,J Fungi (Basel). 2021 May 12; 7(5):378,PMC8150786,2021-06-14 14:16:25,34065811.0,CC BY
oa_package/c5/fd/PMC3137185.tar.gz,Curr Neuropharmacol. 2011 Mar; 9(1):21-25,PMC3137185,2011-09-03 20:04:18,21886555.0,CC BY
oa_package/52/07/PMC7074057.tar.gz,Foods. 2020 Jan 31; 9(2):141,PMC7074057,2024-03-27 10:25:16,32023843.0,CC BY
oa_package/73/76/PMC11906520.tar.gz,Obes Surg. 2025 Feb 8; 35(3):934-940,PMC11906520,2025-03-14 20:25:32,39921824.0,CC BY
oa_package/45/02/PMC11431737.tar.gz,Healthcare (Basel). 2024 Sep 20; 12(18):1884,PMC11431737,2025-10-30 13:25:24,39337225.0,CC BY
oa_package/ae/f8/PMC9493089.tar.gz,Front Neuroinform. 2022 Sep 8; 16:1006494,PMC9493089,2024-05-16 12:25:16,36156985.0,CC BY
oa_package/b1/ba/PMC5479022.tar.gz,Biosci Rep. 2017 Jun 21; 37(3):BSR20170042,PMC5479022,2023-08-03 18:25:09,28450497.0,CC BY
oa_package/14/d8/PMC10856687.tar.gz,Nanomaterials (Basel). 2024 Jan 25; 14(3):261,PMC10856687,2024-02-10 08:25:30,38334532.0,CC BY
oa_package/9b/cb/PMC4553146.tar.gz,J Autism Dev Disord. 2015 Apr 7; 45(9):2779-2791,PMC4553146,2015-09-03 20:09:31,25847757.0,CC BY
oa_package/8b/31/PMC8776992.tar.gz,Front Psychol. 2022 Jan 7; 12:757687,PMC8776992,2022-01-24 11:16:40,35069334.0,CC BY
oa_package/7a/51/PMC12378824.tar.gz,Soc Psychiatry Psychiatr Epidemiol. 2025 Apr 5; 60(9):2271-2273,PMC12378824,2025-09-11 20:25:35,40186664.0,CC BY
oa_package/45/f2/PMC5569926.tar.gz,Med Sci Monit. 2017 Aug 16; 23:3952-3960,PMC5569926,2025-01-14 01:25:14,28811460.0,CC BY-NC-ND
oa_package/d9/11/PMC6731192.tar.gz,Diabetologia. 2019 Aug 27; 62(10):1740-1750,PMC6731192,2020-04-01 20:34:56,31451870.0,CC BY
oa_package/36/f8/PMC11422736.tar.gz,JMIR Res Protoc. 2024 Sep 10; 13:e54323,PMC11422736,2024-09-26 10:25:36,39255483.0,CC BY
oa_package/19/70/PMC4084064.tar.gz,Crit Care. 2009 Mar 13; 13(Suppl 1):P178,PMC4084064,2014-07-11 20:08:47,,NO-CC CODE
oa_package/b5/2a/PMC10356326.tar.gz,Comput Intell Neurosci. 2023 Jul 12; 2023:9878430,PMC10356326,2023-07-21 07:25:09,37476221.0,CC BY
oa_package/7d/23/PMC6845516.tar.gz,Innov Aging. 2019 Nov 8; 3(Suppl 1):S249,PMC6845516,2020-04-04 08:43:23,,CC BY
oa_package/87/d8/PMC10743356.tar.gz,Int J Mol Sci. 2023 Dec 5; 24(24):17143,PMC10743356,2024-01-29 11:25:09,38138971.0,CC BY
oa_package/ab/f6/PMC11206259.tar.gz,Pathogens. 2024 Jun 13; 13(6):502,PMC11206259,2024-06-28 08:25:15,38921820.0,CC BY
oa_package/e5/63/PMC9760380.tar.gz,Comput Math Methods Med. 2022 Dec 11; 2022:9758386,PMC9760380,2022-12-21 11:10:11,36540280.0,CC BY
oa_package/69/2c/PMC12602312.tar.gz,Mol Psychiatry. 2025 Oct 24; 30(12):5731-5748,PMC12602312,2025-11-11 19:25:14,41136744.0,CC BY-NC-ND
oa_package/45/e8/PMC2970538.tar.gz,PLoS Negl Trop Dis. 2010 Nov 2; 4(11):e876,PMC2970538,2024-06-04 09:25:13,21072237.0,CC BY
oa_package/a3/c9/PMC6189431.tar.gz,J Gynecol Oncol. 2018 Nov 30; 29(6):e91,PMC6189431,2018-11-01 06:54:14,30207099.0,CC BY-NC
oa_package/b9/0b/PMC11426258.tar.gz,Clin Infect Dis. 2024 Apr 5; 79(3):701-704,PMC11426258,2024-09-27 06:25:44,38576379.0,CC BY
oa_package/aa/c7/PMC3096601.tar.gz,PLoS Negl Trop Dis. 2011 May 17; 5(5):e1143,PMC3096601,2017-10-30 11:30:00,21610855.0,CC BY
oa_package/bd/7a/PMC12405038.tar.gz,World J Urol. 2025 Sep 2; 43(1):528,PMC12405038,2026-01-10 19:25:14,40892208.0,CC BY
oa_package/45/9d/PMC9368916.tar.gz,Int J Mol Sci. 2022 Jul 27; 23(15):8310,PMC9368916,2024-09-13 14:25:27,35955443.0,CC BY
oa_package/0e/41/PMC5186689.tar.gz,Ind Med Gaz. 1922 Sep; 57(9):343-344,PMC5186689,2022-11-10 09:10:11,29008459.0,CC BY-NC
oa_package/29/58/PMC7466760.tar.gz,Front Vet Sci. 2020 Aug 19; 7:534,PMC7466760,2024-04-27 16:25:29,32974402.0,CC BY
oa_package/b5/13/PMC5051254.tar.gz,Indian J Pharmacol. 2016 Sep-Oct; 48(5):576-581,PMC5051254,2016-10-13 18:46:54,27721546.0,CC BY-NC-SA
oa_package/31/75/PMC7744629.tar.gz,Front Nutr. 2020 Dec 3; 7:559978,PMC7744629,2023-11-03 07:25:22,33344489.0,CC BY
oa_package/68/dd/PMC8262843.tar.gz,Front Oncol. 2021 Jun 23; 11:632104,PMC8262843,2021-07-12 12:16:33,34249680.0,CC BY
oa_package/db/42/PMC7924676.tar.gz,PeerJ Comput Sci. 2020 Dec 14; 6:e334,PMC7924676,2021-04-05 12:16:24,33816982.0,CC BY
oa_package/66/21/PMC11685095.tar.gz,Front Immunol. 2024 Dec 17; 15:1500697,PMC11685095,2025-02-25 20:25:17,39742273.0,CC BY
oa_package/95/a2/PMC2997968.tar.gz,Korean J Intern Med. 2010 Dec 27; 25(4):392-398,PMC2997968,2022-07-18 02:17:00,21179277.0,CC BY-NC
oa_package/36/dd/PMC8247977.tar.gz,HLA. 2021 May 16; 97(5):389-398,PMC8247977,2024-08-11 13:25:30,33527770.0,CC BY
oa_package/f5/b9/PMC3569272.tar.gz,Genome Announc. 2013 Feb 14; 1(1):e00147-12,PMC3569272,2024-06-29 18:25:13,23409254.0,CC BY
oa_package/0f/db/PMC11325556.tar.gz,Chem Mater. 2024 Jul 23; 36(15):7117-7126,PMC11325556,2024-08-28 19:25:35,39156710.0,CC BY
oa_package/e5/0a/PMC4455977.tar.gz,Popul Health Metr. 2015 Jun 2; 13:13,PMC4455977,2023-07-09 16:25:21,26045697.0,CC BY
oa_package/65/d7/PMC9187443.tar.gz,Comput Intell Neurosci. 2022 Jun 3; 2022:9312876,PMC9187443,2022-06-14 10:16:38,35694590.0,CC BY
oa_package/8f/ce/PMC9475210.tar.gz,Curr Res Food Sci. 2022 Sep 7; 5:1445-1451,PMC9475210,2022-09-19 11:16:51,36119370.0,CC BY-NC-ND
oa_package/8e/5e/PMC6934715.tar.gz,Sci Rep. 2019 Dec 27; 9:20020,PMC6934715,2019-12-30 19:21:00,31882579.0,CC BY
oa_package/78/de/PMC5403454.tar.gz,Biomed Rep. 2017 Mar 27; 6(3):267-271,PMC5403454,2017-04-30 09:02:43,28451384.0,CC BY-NC-ND
oa_package/e6/7b/PMC8789649.tar.gz,Front Oncol. 2022 Jan 12; 11:794615,PMC8789649,2022-01-31 11:16:37,35096594.0,CC BY
oa_package/c5/58/PMC6601559.tar.gz,Cell Adh Migr. 2019 Jun 26; 13(1):23622-248,PMC6601559,2024-04-17 16:25:22,31240993.0,CC BY
oa_package/86/3c/PMC10200884.tar.gz,Front Plant Sci. 2023 May 8; 14:1186718,PMC10200884,2023-05-24 11:25:09,37223793.0,CC BY
oa_package/6b/1f/PMC10510317.tar.gz,J Am Chem Soc. 2023 Aug 30; 145(36):19849-19855,PMC10510317,2023-09-21 06:25:20,37646616.0,CC BY
oa_package/d5/37/PMC10674849.tar.gz,Pharmaceuticals (Basel). 2023 Nov 2; 16(11):1549,PMC10674849,2024-01-27 19:25:21,38004415.0,CC BY
oa_package/8e/cb/PMC8438073.tar.gz,Nat Commun. 2021 Sep 13; 12:5403,PMC8438073,2024-05-06 00:25:14,34518539.0,CC BY
oa_package/1b/19/PMC8175583.tar.gz,Sci Rep. 2021 Jun 3; 11:11788,PMC8175583,2025-01-07 15:25:14,34083551.0,CC BY
oa_package/9b/51/PMC10225218.tar.gz,Cancer Med. 2023 Mar 14; 12(9):10725-10737,PMC10225218,2024-06-25 15:25:20,36916425.0,CC BY
oa_package/63/33/PMC3477052.tar.gz,Int J Equity Health. 2012 May 15; 11:24,PMC3477052,2023-06-09 20:25:10,22587740.0,CC BY
oa_package/63/31/PMC8380590.tar.gz,Int J Implant Dent. 2021 Aug 23; 7:92,PMC8380590,2021-09-08 20:16:37,34423396.0,CC BY
oa_package/78/3a/PMC5966464.tar.gz,Cell Death Dis. 2018 May 23; 9(6):620,PMC5966464,2018-05-30 02:08:59,29795111.0,CC BY
oa_package/c5/70/PMC4898164.tar.gz,Amyloid. 2016 Apr 2; 23(2):1095-118,PMC4898164,2024-07-11 12:25:14,27033334.0,CC BY-NC-ND
oa_package/d4/58/PMC12695695.tar.gz,J Appl Clin Med Phys. 2025 Dec 10; 26(12):e70367,PMC12695695,2025-12-12 05:25:15,41373115.0,CC BY
oa_package/45/ed/PMC3234033.tar.gz,Ecancermedicalscience. 2010 May 11; 4:182,PMC3234033,2014-05-19 06:09:35,22276034.0,CC BY
oa_package/46/c3/PMC12505335.tar.gz,Korean Circ J. 2025 Jun 4; 55(9):838-839,PMC12505335,2025-10-09 06:25:48,40537437.0,CC BY-NC
oa_package/3f/c4/PMC10066005.tar.gz,J Community Health. 2023 Mar 31;:1-9,PMC10066005,2023-04-03 21:10:24,37002473.0,NO-CC CODE
oa_package/98/9d/PMC11005346.tar.gz,mBio.; 15(4):e00072-24,PMC11005346,2024-04-24 11:25:16,38501869.0,CC BY
oa_package/d3/c7/PMC6880709.tar.gz,Aging Med (Milton). 2019 Jul 23; 2(3):174-183,PMC6880709,2024-09-10 19:25:43,31942532.0,CC BY
oa_package/07/ed/PMC5501493.tar.gz,PLoS One. 2017 Jul 7; 12(7):e0180203,PMC5501493,2017-07-25 20:07:23,28686630.0,CC BY
oa_package/79/40/PMC9156683.tar.gz,Commun Biol. 2022 May 31; 5:521,PMC9156683,2022-06-12 22:16:45,35641555.0,CC BY
oa_package/b2/e5/PMC3267691.tar.gz,J Biomed Sci. 2011 Dec 22; 18(1):95,PMC3267691,2013-03-28 09:22:59,22192448.0,CC BY
oa_package/86/fb/PMC10454208.tar.gz,Genes (Basel). 2023 Jul 26; 14(8):1529,PMC10454208,2025-10-09 11:25:38,37628582.0,CC BY
oa_package/c3/99/PMC8246513.tar.gz,Orthop J Sports Med. 2021 Jun 29; 9(6):23259671211018703,PMC8246513,2021-07-15 12:16:32,34262983.0,CC BY-NC-ND
oa_package/ed/33/PMC11270004.tar.gz,RSC Adv.; 14(32):23404-23422,PMC11270004,2024-07-26 13:25:17,39055266.0,CC BY-NC
oa_package/f9/19/PMC4625631.tar.gz,J Adv Pract Oncol. 2015 May 1 May-Jun; 6(3):256-262,PMC4625631,2024-03-23 02:25:11,26557412.0,CC BY
oa_package/9d/35/PMC7483080.tar.gz,Cellulose (Lond). 2020 Sep 11; 27(16):9157-9179,PMC7483080,2022-02-16 14:16:47,32934443.0,NO-CC CODE
oa_package/b1/a5/PMC8411244.tar.gz,IBRO Neurosci Rep. 2021 Aug 27; 11:103-111,PMC8411244,2024-04-02 22:25:40,34505112.0,CC BY
oa_package/b8/15/PMC9797288.tar.gz,Comput Intell Neurosci. 2022 Dec 21; 2022:9807123,PMC9797288,2023-01-02 11:10:35,36590832.0,CC BY
oa_package/d1/5e/PMC11546185.tar.gz,Heliyon. 2024 Oct 22; 10(21):e39683,PMC11546185,2024-11-13 12:25:35,39524714.0,CC BY-NC-ND
oa_package/43/4a/PMC3429028.tar.gz,Front Physiol. 2012 Jul 4; 3:251,PMC3429028,2012-10-22 16:09:21,22934008.0,CC BY
oa_package/f7/1d/PMC11266633.tar.gz,Clin Case Rep. 2024 Jul 23; 12(8):e9196,PMC11266633,2024-07-26 13:25:17,39055090.0,CC BY-NC-ND
oa_package/04/25/PMC3175729.tar.gz,J Nutr Metab. 2012 Sep 18; 2012:652932,PMC3175729,2018-03-21 06:38:45,21941638.0,CC BY
oa_package/4e/7d/PMC10675496.tar.gz,Trop Med Infect Dis. 2023 Nov 16; 8(11):500,PMC10675496,2025-08-29 16:25:37,37999619.0,CC BY
oa_package/87/7f/PMC10545094.tar.gz,Medicine (Baltimore). 2021 Dec 17; 100(50):e27883,PMC10545094,2024-01-25 12:25:10,34918637.0,CC BY
oa_package/b4/af/PMC8099093.tar.gz,PLoS One. 2021 May 5; 16(5):e0250920,PMC8099093,2023-09-19 06:25:24,33951090.0,CC BY
oa_package/a5/cc/PMC10498608.tar.gz,Cost Eff Resour Alloc. 2023 Sep 13; 21:64,PMC10498608,2025-10-08 10:25:21,37705076.0,CC BY
oa_package/b8/3e/PMC11974418.tar.gz,J Behav Addict. 2025 Feb 11; 14(1):304-322,PMC11974418,2025-04-08 07:25:30,39932501.0,CC BY-NC
oa_package/f5/d8/PMC8521145.tar.gz,Front Microbiol. 2021 Oct 4; 12:693204,PMC8521145,2024-04-02 17:25:30,34671321.0,CC BY
oa_package/6c/66/PMC5325359.tar.gz,Oncotarget. 2016 Aug 20; 7(39):63226-63241,PMC5325359,2017-03-23 20:07:24,27557515.0,CC BY
oa_package/f3/74/PMC6327800.tar.gz,Ann Maxillofac Surg. 2018 Jul-Dec; 8(2):247-253,PMC6327800,2019-01-31 17:56:06,30693240.0,CC BY-NC-SA
oa_package/db/41/PMC4398988.tar.gz,Alcohol Alcohol. 2015 May 14; 50(3):328-332,PMC4398988,2015-04-21 20:08:56,25589089.0,CC BY
oa_package/5d/49/PMC9706631.tar.gz,J Biol Chem. 2022 Oct 29; 298(12):102654,PMC9706631,2024-07-03 00:25:19,36441026.0,CC BY
oa_package/9a/66/PMC9112109.tar.gz,MethodsX. 2022 May 5; 9:101721,PMC9112109,2022-06-11 19:16:41,35592462.0,CC BY
oa_package/fa/fd/PMC12215676.tar.gz,Sci Rep. 2025 Jul 1; 15:21926,PMC12215676,2025-07-02 20:25:41,40594637.0,CC BY-NC-ND
oa_package/ff/c2/PMC9316741.tar.gz,Vaccines (Basel). 2022 Jul 7; 10(7):1090,PMC9316741,2024-09-21 12:25:26,35891254.0,CC BY
oa_package/16/58/PMC11566320.tar.gz,Curr Res Pharmacol Drug Discov. 2024 Oct 26; 7:100205,PMC11566320,2024-11-18 10:25:24,39554887.0,CC BY-NC-ND
oa_package/7b/82/PMC11806013.tar.gz,Sci Rep. 2025 Feb 7; 15:4666,PMC11806013,2025-02-11 16:25:28,39920299.0,CC BY-NC-ND
oa_package/c2/6c/PMC11666591.tar.gz,Sci Rep. 2024 Dec 23; 14:30598,PMC11666591,2024-12-24 19:25:38,39715779.0,CC BY
oa_package/f7/f9/PMC6157792.tar.gz,Biomed Opt Express. 2018 Aug 7; 9(9):4149-4161,PMC6157792,2024-09-12 09:25:15,30615755.0,NO-CC CODE
oa_package/23/18/PMC2635613.tar.gz,Int J Mol Sci. 2008 Oct 8; 9(10):1893-1907,PMC2635613,2013-07-30 12:13:12,19325724.0,CC BY
oa_package/ea/92/PMC11154749.tar.gz,Eur Respir J. 2024 Jun 6; 63(6):2400579,PMC11154749,2024-06-07 06:25:13,38636989.0,CC BY-NC
oa_package/af/2c/PMC7977605.tar.gz,BMC Nephrol. 2021 Mar 18; 22:97,PMC7977605,2024-03-30 07:25:20,33736605.0,CC BY
oa_package/bc/68/PMC5141787.tar.gz,Ind Med Gaz. 1889 May; 24(5):145-147,PMC5141787,2022-11-10 09:10:11,29000198.0,CC BY-NC
oa_package/02/76/PMC7366361.tar.gz,Int J Biol Markers. 2019 Mar 10; 34(1):90-97,PMC7366361,2024-07-30 04:25:27,30854931.0,CC BY-NC
oa_package/ee/55/PMC5538707.tar.gz,PLoS One. 2017 Aug 1; 12(8):e0182196,PMC5538707,2023-11-03 23:25:10,28763497.0,CC BY
oa_package/69/4b/PMC4190982.tar.gz,Pediatr Rheumatol Online J. 2014 Sep 17; 12(Suppl 1):P142,PMC4190982,2014-11-05 19:11:27,,CC BY
oa_package/72/94/PMC6227983.tar.gz,R Soc Open Sci. 2018 Oct 3; 5(10):180208,PMC6227983,2024-04-01 22:25:18,30473803.0,CC BY
oa_package/fc/41/PMC6457058.tar.gz,Aging Dis. 2019 Apr 1; 10(2):217-230,PMC6457058,2019-07-31 18:11:41,31011474.0,CC BY
oa_package/c5/9e/PMC4043441.tar.gz,Mol Cytogenet. 2014 Jan 21; 7(Suppl 1):P107,PMC4043441,2014-10-09 21:52:07,,CC BY
oa_package/13/44/PMC5035370.tar.gz,Diabetes Technol Ther. 2016 Sep 1; 18(9):574-585,PMC5035370,2016-10-04 20:07:25,27333446.0,CC BY-NC
oa_package/2d/ed/PMC11379079.tar.gz,Int J Biol Sci. 2024 Aug 1; 20(11):4128-4145,PMC11379079,2024-10-18 22:25:37,39247832.0,CC BY
oa_package/1d/d4/PMC3851674.tar.gz,Acta Orthop. 2013 Dec 2; 84(6):585-592,PMC3851674,2013-12-08 19:07:18,24237425.0,CC BY-NC
oa_package/11/c5/PMC7829234.tar.gz,Anim Cogn. 2021 Sep 18; 24(1):121-131,PMC7829234,2024-03-29 17:25:30,32948970.0,CC BY
oa_package/0f/d6/PMC7336588.tar.gz,Cureus.; 12(6):e8447,PMC7336588,2020-07-09 10:56:30,32642360.0,CC BY
oa_package/f3/4d/PMC7320466.tar.gz,J Epidemiol Glob Health. 2016 Jun 30; 6(4):277-284,PMC7320466,2024-03-28 03:25:12,27373603.0,CC BY-NC-ND
oa_package/2b/b0/PMC5343051.tar.gz,Korean J Physiol Pharmacol. 2017 Mar 21; 21(2):179-188,PMC5343051,2020-05-13 00:56:17,28280411.0,CC BY-NC
oa_package/94/44/PMC2841654.tar.gz,BMC Fam Pract. 2010 Mar 9; 11:21,PMC2841654,2013-04-03 17:24:34,20214813.0,CC BY
